time,value
 15:33:16.614110,1488
 15:33:17.621040,1487
 15:33:18.615050,1488
 15:33:19.613970,1486
 15:33:20.562010,1486
 15:33:21.557990,1487
 15:33:22.612090,1486
 15:33:23.553650,1486
 15:33:24.595270,1487
 15:33:25.577900,1487
 15:33:26.604690,1486
 15:33:27.540080,1487
 15:33:28.538470,1487
 15:33:29.569020,1488
 15:33:30.562630,1490
 15:33:31.578540,1489
 15:33:32.557420,1489
 15:33:33.613460,1488
 15:33:34.534000,1488
 15:33:35.546750,1489
 15:33:36.530250,1489
 15:33:37.560220,1489
 15:33:38.563720,1489
 15:33:39.572240,1490
 15:33:40.516810,1490
 15:33:41.525890,1490
 15:33:42.552010,1491
 15:33:43.556980,1490
 15:33:44.551010,1490
 15:33:45.540850,1488
 15:33:46.569960,1487
 15:33:47.581610,1489
 15:33:48.510730,1489
 15:33:49.505730,1489
 15:33:50.500250,1489
 15:33:51.540640,1491
 15:33:52.522900,1490
 15:33:53.504910,1490
 15:33:54.538070,1489
 15:33:55.539600,1489
 15:33:56.527810,1491
 15:33:57.538360,1490
 15:33:58.536460,1490
 15:33:59.589210,1490
 15:34:00.566480,1490
 15:34:01.577690,1491
 15:34:02.581180,1491
 15:34:03.559460,1489
 15:34:04.563270,1490
 15:34:05.530010,1490
 15:34:06.539750,1490
 15:34:07.521360,1490
 15:34:08.524170,1490
 15:34:09.520010,1489
 15:34:10.530810,1490
 15:34:11.509700,1490
 15:34:12.510980,1491
 15:34:13.518370,1490
 15:34:14.529800,1490
 15:34:15.545570,1490
 15:34:16.514770,1490
 15:34:17.526890,1489
 15:34:18.505030,1489
 15:34:19.534490,1488
 15:34:20.518560,1488
 15:34:21.524050,1490
 15:34:22.502670,1490
 15:34:23.521330,1490
 15:34:24.524940,1491
 15:34:25.516000,1490
 15:34:26.534830,1490
 15:34:27.535220,1490
 15:34:28.530810,1489
 15:34:29.555710,1489
 15:34:30.561990,1490
 15:34:31.542390,1490
 15:34:32.531200,1490
 15:34:33.532960,1489
 15:34:34.545070,1489
 15:34:35.489780,1489
 15:34:36.524210,1489
 15:34:37.501100,1488
 15:34:38.480860,1488
 15:34:39.501680,1489
 15:34:40.537720,1489
 15:34:41.544260,1489
 15:34:42.556600,1489
 15:34:43.544830,1488
 15:34:44.487910,1488
 15:34:45.502500,1488
 15:34:46.493900,1488
 15:34:47.500620,1487
 15:34:48.478690,1487
 15:34:49.487510,1488
 15:34:50.508390,1487
 15:34:51.456470,1487
 15:34:52.507210,1488
 15:34:53.445310,1489
 15:34:54.439620,1489
 15:34:55.479340,1488
 15:34:56.497090,1486
 15:34:57.492110,1487
 15:34:58.502040,1487
 15:34:59.497980,1489
 15:35:00.477170,1489
 15:35:01.465200,1488
 15:35:02.524920,1487
 15:35:03.459970,1488
 15:35:04.460140,1489
 15:35:05.476330,1488
 15:35:06.459770,1487
 15:35:07.466680,1489
 15:35:08.447430,1489
 15:35:09.461600,1489
 15:35:10.476530,1489
 15:35:11.454510,1489
 15:35:12.467510,1490
 15:35:13.477770,1492
 15:35:14.481840,1491
 15:35:15.420620,1491
 15:35:16.430430,1491
 15:35:17.456560,1490
 15:35:18.468580,1491
 15:35:19.471470,1491
 15:35:20.463320,1491
 15:35:21.442450,1491
 15:35:22.447010,1490
 15:35:23.405250,1491
 15:35:24.418570,1491
 15:35:25.422980,1491
 15:35:26.447060,1491
 15:35:27.433890,1491
 15:35:28.427780,1490
 15:35:29.485710,1490
 15:35:30.425070,1491
 15:35:31.418190,1490
 15:35:32.438670,1491
 15:35:33.449880,1492
 15:35:34.427830,1492
 15:35:35.440690,1493
 15:35:36.433590,1492
 15:35:37.436290,1491
 15:35:38.443170,1490
 15:35:39.377620,1490
 15:35:40.385240,1490
 15:35:41.371170,1490
 15:35:42.369260,1492
 15:35:43.402200,1493
 15:35:44.410140,1493
 15:35:45.400620,1493
 15:35:46.423150,1493
 15:35:47.366560,1492
 15:35:48.355330,1492
 15:35:49.370030,1491
 15:35:50.400990,1491
 15:35:51.400510,1491
 15:35:52.364130,1490
 15:35:53.373140,1491
 15:35:54.391460,1491
 15:35:55.312610,1491
 15:35:56.340230,1491
 15:35:57.344650,1492
 15:35:58.295280,1492
 15:35:59.346530,1491
 15:36:00.357430,1490
 15:36:01.293470,1489
 15:36:02.305910,1489
 15:36:03.340390,1490
 15:36:04.317310,1491
 15:36:05.328330,1491
 15:36:06.274380,1492
 15:36:07.281250,1492
 15:36:08.293270,1491
 15:36:09.290250,1491
 15:36:10.293230,1489
 15:36:11.272140,1488
 15:36:12.314460,1489
 15:36:13.297270,1490
 15:36:14.318010,1490
 15:36:15.308180,1490
 15:36:16.299900,1490
 15:36:17.283190,1490
 15:36:18.290490,1489
 15:36:19.306760,1490
 15:36:20.273110,1490
 15:36:21.330880,1491
 15:36:22.291810,1490
 15:36:23.281190,1490
 15:36:24.277670,1490
 15:36:25.258900,1490
 15:36:26.273550,1490
 15:36:27.257510,1490
 15:36:28.249020,1490
 15:36:29.310220,1491
 15:36:30.289500,1491
 15:36:31.302330,1490
 15:36:32.227700,1490
 15:36:33.230340,1490
 15:36:34.224150,1490
 15:36:35.228220,1490
 15:36:36.244200,1490
 15:36:37.250300,1490
 15:36:38.252290,1490
 15:36:39.282210,1490
 15:36:40.261020,1491
 15:36:41.277780,1490
 15:36:42.208320,1489
 15:36:43.199290,1489
 15:36:44.201290,1490
 15:36:45.187790,1491
 15:36:46.233830,1491
 15:36:47.226860,1491
 15:36:48.239220,1491
 15:36:49.202520,1491
 15:36:50.234570,1491
 15:36:51.232250,1491
 15:36:52.200700,1491
 15:36:53.254420,1490
 15:36:54.253840,1491
 15:36:55.240710,1490
 15:36:56.211520,1491
 15:36:57.212420,1492
 15:36:58.203450,1491
 15:36:59.195410,1492
 15:37:00.250730,1490
 15:37:01.245210,1490
 15:37:02.183860,1490
 15:37:03.211080,1491
 15:37:04.197320,1492
 15:37:05.241370,1492
 15:37:06.210280,1490
 15:37:07.176330,1490
 15:37:08.177400,1491
 15:37:09.185530,1491
 15:37:10.177780,1490
 15:37:11.244990,1491
 15:37:12.167230,1491
 15:37:13.182940,1491
 15:37:14.183600,1490
 15:37:15.199830,1490
 15:37:16.170770,1491
 15:37:17.232580,1491
 15:37:18.168840,1491
 15:37:19.157830,1491
 15:37:20.150810,1491
 15:37:21.149600,1490
 15:37:22.192400,1491
 15:37:23.198580,1490
 15:37:24.192540,1489
 15:37:25.156420,1489
 15:37:26.215150,1490
 15:37:27.202770,1491
 15:37:28.194220,1492
 15:37:29.184320,1491
 15:37:30.188290,1491
 15:37:31.191130,1490
 15:37:32.172370,1490
 15:37:33.185160,1490
 15:37:34.238720,1490
 15:37:35.230910,1490
 15:37:36.209110,1492
 15:37:37.183250,1492
 15:37:38.245910,1491
 15:37:39.225040,1491
 15:37:40.211760,1490
 15:37:41.180710,1490
 15:37:42.174300,1490
 15:37:43.182620,1489
 15:37:44.172490,1489
 15:37:45.162740,1489
 15:37:46.159410,1488
 15:37:47.180450,1489
 15:37:48.165000,1490
 15:37:49.173390,1490
 15:37:50.165420,1491
 15:37:51.172150,1491
 15:37:52.168030,1491
 15:37:53.212090,1491
 15:37:54.200110,1491
 15:37:55.227080,1490
 15:37:56.225080,1492
 15:37:57.206410,1492
 15:37:58.180150,1490
 15:37:59.185090,1490
 15:38:00.170050,1491
 15:38:01.181160,1491
 15:38:02.183920,1491
 15:38:03.185890,1491
 15:38:04.190650,1491
 15:38:05.197960,1492
 15:38:06.170960,1492
 15:38:07.160930,1492
 15:38:08.157970,1491
 15:38:09.171860,1490
 15:38:10.150620,1491
 15:38:11.177250,1491
 15:38:12.188470,1490
 15:38:13.125060,1490
 15:38:14.137330,1490
 15:38:15.151910,1491
 15:38:16.144660,1491
 15:38:17.145690,1491
 15:38:18.148810,1491
 15:38:19.153850,1491
 15:38:20.132260,1490
 15:38:21.189810,1490
 15:38:22.121120,1491
 15:38:23.132120,1489
 15:38:24.111160,1489
 15:38:25.143930,1489
 15:38:26.125010,1489
 15:38:27.102630,1489
 15:38:28.119990,1490
 15:38:29.116930,1490
 15:38:30.090120,1490
 15:38:31.105350,1489
 15:38:32.102770,1490
 15:38:33.104920,1490
 15:38:34.118980,1490
 15:38:35.111710,1491
 15:38:36.085210,1491
 15:38:37.065950,1491
 15:38:38.134960,1490
 15:38:39.064820,1490
 15:38:40.062430,1490
 15:38:41.121550,1491
 15:38:42.056760,1491
 15:38:43.049070,1491
 15:38:44.049710,1491
 15:38:45.078570,1491
 15:38:46.083440,1491
 15:38:47.101100,1491
 15:38:48.080240,1491
 15:38:49.083140,1491
 15:38:50.086970,1491
 15:38:51.080160,1491
 15:38:52.074320,1492
 15:38:53.059110,1491
 15:38:54.104770,1491
 15:38:55.088890,1491
 15:38:56.062180,1491
 15:38:57.078140,1490
 15:38:58.094130,1490
 15:38:59.095800,1490
 15:39:00.112810,1490
 15:39:01.115820,1489
 15:39:02.138710,1489
 15:39:03.080720,1489
 15:39:04.083980,1489
 15:39:05.126560,1490
 15:39:06.116140,1490
 15:39:07.101780,1490
 15:39:08.077650,1490
 15:39:09.096330,1489
 15:39:10.088400,1489
 15:39:11.096300,1490
 15:39:12.112270,1489
 15:39:13.103900,1490
 15:39:14.095390,1490
 15:39:15.115290,1489
 15:39:16.109370,1490
 15:39:17.071220,1491
 15:39:18.080370,1491
 15:39:19.088860,1492
 15:39:20.081130,1491
 15:39:21.094970,1489
 15:39:22.078820,1489
 15:39:23.088030,1490
 15:39:24.100750,1490
 15:39:25.109990,1490
 15:39:26.072980,1491
 15:39:27.074070,1490
 15:39:28.130710,1488
 15:39:29.090290,1490
 15:39:30.088690,1491
 15:39:31.113550,1491
 15:39:32.102300,1491
 15:39:33.113590,1489
 15:39:34.116680,1488
 15:39:35.118460,1488
 15:39:36.140480,1490
 15:39:37.088470,1490
 15:39:38.107610,1490
 15:39:39.088190,1489
 15:39:40.095140,1489
 15:39:41.132930,1490
 15:39:42.083270,1490
 15:39:43.127140,1489
 15:39:44.126240,1489
 15:39:45.123040,1489
 15:39:46.127050,1489
 15:39:47.118430,1490
 15:39:48.137980,1490
 15:39:49.131470,1489
 15:39:50.144080,1489
 15:39:51.074290,1489
 15:39:52.082530,1490
 15:39:53.086820,1490
 15:39:54.123630,1491
 15:39:55.110710,1489
 15:39:56.092860,1488
 15:39:57.097620,1489
 15:39:58.096390,1489
 15:39:59.095660,1490
 15:40:00.100660,1490
 15:40:01.091550,1490
 15:40:02.090980,1490
 15:40:03.108390,1490
 15:40:04.110030,1490
 15:40:05.104630,1489
 15:40:06.045510,1489
 15:40:07.050550,1488
 15:40:08.054180,1489
 15:40:09.031940,1489
 15:40:10.089560,1490
 15:40:11.035220,1491
 15:40:12.034710,1491
 15:40:13.093050,1490
 15:40:14.046100,1489
 15:40:15.039050,1489
 15:40:16.057980,1489
 15:40:17.054070,1491
 15:40:18.044490,1490
 15:40:19.033960,1489
 15:40:20.098590,1490
 15:40:21.102920,1490
 15:40:22.039830,1490
 15:40:23.053260,1490
 15:40:24.071660,1490
 15:40:25.066110,1490
 15:40:26.070370,1490
 15:40:27.057930,1490
 15:40:28.051970,1490
 15:40:29.039590,1490
